PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"34819668","ecDNA hubs drive cooperative intermolecular oncogene expression","Hung KL, Yost KE, Xie L, Shi Q, Helmsauer K, Luebeck J, Schöpflin R, Lange JT, Chamorro González R, Weiser NE, Chen C, Valieva ME, Wong IT, Wu S, Dehkordi SR, Duffy CV, Kraft K, Tang J, Belk JA, Rose JC, Corces MR, Granja JM, Li R, Rajkumar U, Friedlein J, Bagchi A, Satpathy AT, Tjian R, Mundlos S, Bafna V, Henssen AG, Mischel PS, Liu Z, Chang HY.","Nature. 2021 Dec;600(7890):731-736. doi: 10.1038/s41586-021-04116-8. Epub 2021 Nov 24.","Hung KL","Nature","2021","2021/11/25","","","10.1038/s41586-021-04116-8"
"34616054","Topological complex-energy braiding of non-Hermitian bands","Wang K, Dutt A, Wojcik CC, Fan S.","Nature. 2021 Oct;598(7879):59-64. doi: 10.1038/s41586-021-03848-x. Epub 2021 Oct 6.","Wang K","Nature","2021","2021/10/07","","","10.1038/s41586-021-03848-x"
"34912088","Detecting spins by their fluorescence with a microwave photon counter","Albertinale E, Balembois L, Billaud E, Ranjan V, Flanigan D, Schenkel T, Estève D, Vion D, Bertet P, Flurin E.","Nature. 2021 Dec;600(7889):434-438. doi: 10.1038/s41586-021-04076-z. Epub 2021 Dec 15.","Albertinale E","Nature","2021","2021/12/16","","","10.1038/s41586-021-04076-z"
"34671159","Regulation of intestinal immunity and tissue repair by enteric glia","Progatzky F, Shapiro M, Chng SH, Garcia-Cassani B, Classon CH, Sevgi S, Laddach A, Bon-Frauches AC, Lasrado R, Rahim M, Amaniti EM, Boeing S, Shah K, Entwistle LJ, Suárez-Bonnet A, Wilson MS, Stockinger B, Pachnis V.","Nature. 2021 Nov;599(7883):125-130. doi: 10.1038/s41586-021-04006-z. Epub 2021 Oct 20.","Progatzky F","Nature","2021","2021/10/21","","","10.1038/s41586-021-04006-z"
"34646002","An elastic metal-organic crystal with a densely catenated backbone","Meng W, Kondo S, Ito T, Komatsu K, Pirillo J, Hijikata Y, Ikuhara Y, Aida T, Sato H.","Nature. 2021 Oct;598(7880):298-303. doi: 10.1038/s41586-021-03880-x. Epub 2021 Oct 13.","Meng W","Nature","2021","2021/10/14","","","10.1038/s41586-021-03880-x"
"34880492","Structure and mechanism of the SGLT family of glucose transporters","Han L, Qu Q, Aydin D, Panova O, Robertson MJ, Xu Y, Dror RO, Skiniotis G, Feng L.","Nature. 2021 Dec 8. doi: 10.1038/s41586-021-04211-w. Online ahead of print.","Han L","Nature","2021","2021/12/09","","","10.1038/s41586-021-04211-w"
"34819672","The human microbiome encodes resistance to the antidiabetic drug acarbose","Balaich J, Estrella M, Wu G, Jeffrey PD, Biswas A, Zhao L, Korennykh A, Donia MS.","Nature. 2021 Dec;600(7887):110-115. doi: 10.1038/s41586-021-04091-0. Epub 2021 Nov 24.","Balaich J","Nature","2021","2021/11/25","","","10.1038/s41586-021-04091-0"
"34616062","Comparative cellular analysis of motor cortex in human, marmoset and mouse","Bakken TE, Jorstad NL, Hu Q, Lake BB, Tian W, Kalmbach BE, Crow M, Hodge RD, Krienen FM, Sorensen SA, Eggermont J, Yao Z, Aevermann BD, Aldridge AI, Bartlett A, Bertagnolli D, Casper T, Castanon RG, Crichton K, Daigle TL, Dalley R, Dee N, Dembrow N, Diep D, Ding SL, Dong W, Fang R, Fischer S, Goldman M, Goldy J, Graybuck LT, Herb BR, Hou X, Kancherla J, Kroll M, Lathia K, van Lew B, Li YE, Liu CS, Liu H, Lucero JD, Mahurkar A, McMillen D, Miller JA, Moussa M, Nery JR, Nicovich PR, Niu SY, Orvis J, Osteen JK, Owen S, Palmer CR, Pham T, Plongthongkum N, Poirion O, Reed NM, Rimorin C, Rivkin A, Romanow WJ, Sedeño-Cortés AE, Siletti K, Somasundaram S, Sulc J, Tieu M, Torkelson A, Tung H, Wang X, Xie F, Yanny AM, Zhang R, Ament SA, Behrens MM, Bravo HC, Chun J, Dobin A, Gillis J, Hertzano R, Hof PR, Höllt T, Horwitz GD, Keene CD, Kharchenko PV, Ko AL, Lelieveldt BP, Luo C, Mukamel EA, Pinto-Duarte A, Preissl S, Regev A, Ren B, Scheuermann RH, Smith K, Spain WJ, White OR, Koch C, Hawrylycz M, Tasic B, Macosko EZ, McCarroll SA, Ting JT, et al.","Nature. 2021 Oct;598(7879):111-119. doi: 10.1038/s41586-021-03465-8. Epub 2021 Oct 6.","Bakken TE","Nature","2021","2021/10/07","PMC8494640","","10.1038/s41586-021-03465-8"
"34880498","Exercise plasma boosts memory and dampens brain inflammation via clusterin","De Miguel Z, Khoury N, Betley MJ, Lehallier B, Willoughby D, Olsson N, Yang AC, Hahn O, Lu N, Vest RT, Bonanno LN, Yerra L, Zhang L, Saw NL, Fairchild JK, Lee D, Zhang H, McAlpine PL, Contrepois K, Shamloo M, Elias JE, Rando TA, Wyss-Coray T.","Nature. 2021 Dec;600(7889):494-499. doi: 10.1038/s41586-021-04183-x. Epub 2021 Dec 8.","De Miguel Z","Nature","2021","2021/12/09","","","10.1038/s41586-021-04183-x"
"34616065","Epigenomic diversity of cortical projection neurons in the mouse brain","Zhang Z, Zhou J, Tan P, Pang Y, Rivkin AC, Kirchgessner MA, Williams E, Lee CT, Liu H, Franklin AD, Miyazaki PA, Bartlett A, Aldridge AI, Vu M, Boggeman L, Fitzpatrick C, Nery JR, Castanon RG, Rashid M, Jacobs MW, Ito-Cole T, O'Connor C, Pinto-Duartec A, Dominguez B, Smith JB, Niu SY, Lee KF, Jin X, Mukamel EA, Behrens MM, Ecker JR, Callaway EM.","Nature. 2021 Oct;598(7879):167-173. doi: 10.1038/s41586-021-03223-w. Epub 2021 Oct 6.","Zhang Z","Nature","2021","2021/10/07","PMC8494636","NIHMS1662371","10.1038/s41586-021-03223-w"
